,summonerId
67,8J9mf59VFLkp0pDepdHZWwfwQNqS-8GbQSiZKv700RUlAno
68,8Q5SjT07E-HtfPedW0C2nMGTpAYlOcIfqKuxPmNCvlekL3E
69,8QJ7uOA4mysvqYfdaSJU8pf6B1qosIBtAnGPjmQt-GRgqu8
70,8Qs3kQvsAoiFzcVScqcma7tMQ9J6Wszy0zvDJklLKZgth2w
71,8d-nwIDp1B2eJSAHinhKqYdzRV_Q-vglg8iESxchr9rEIrY
72,8joa52hevp1VkRW2hBrSpGbKsUfmuVSiDArES2DsgkUVD1M
73,8qIyADeTaJ72_ykRexf9RJjKLkgwTSKBpxGPKxckAUzgWGE
74,91yuyrWamrL-gTKlEdx3ClC_6gEKWWI0R_muGzAq7p7ZLuQ
75,9IZaCIkqaqP-PwRAuTRQjqDN0UjH14A8u7d0OKMvrLpFaMs
76,9Iw8FhZufzuQOxANJ6atSDa6X8869FUMcRLWoCFxYFNZR_Y
77,9PSDg7LAqRaI91VG38NgCW7t_3Fi6z8etoY1QnmMuDuJka0
78,9_ggjaS0AQv_Z1GOC4hUs5UeSTDiAvZc_uh0SdKphzfMdrM
79,9jNugsH35XOLcgTdU1nyE9LAfb3xnEPOhGrKvzk7RnaXM8Q
80,9uk8fq_oj-aydOHoIrnknOqMO08-CBX7YR96e18dKh5VJ-s
81,A2VhzDGTh_V7uTZ_iAFvznoZHlquVQNlpLOrWAauagMmw_g
82,A92Z-kdLsC2drOIm3dDHjsjDmdTqCHyMWzEkMO4lbM3eLTM
83,A9IPr2UsrAC3qM8C-2lPeYn_txXZcWdlqVj3NAgeMRZ1R_A
84,AGah_fd2zFpjsuxGd6FcED7FfrI78Jc7ZYGqmnaf-LAPqV4
85,ANw6IL6X8P1Qow6rHjoQP4dmdV4mdSCDVkGlZvGG8l5FHuc
86,AOeb3GTcozhvm0gkkn8u0qakOMsZki_rIl0Nx9sQCYcwyE4
87,AW3rYE5jxtPiivvg-4aHvOkq6r_bQoX-GEjePbhp4-Cw5iE
88,AaJrgODPdd6vfLWiiA0K6L5ZRlh2MX_XUp35by9JvIlaqSo
89,AelxuRmhxR71Bzc68bnWiWZYAM8A6MLg53EDoOjQEWbSxRA
90,AjJzOZT_gnN_7rA2aMcgveGm-tJmVD-JgsbxjZ7iwG0m9L4
91,B03TJGBqcS__AS1f0hpYunk5LF40fD-S8pBNJGfZEEYED6M
92,B5CMaISyE03QHYciGvArwdTkyYtcqF729dMaSwuw_8CIVlw
93,B86D9SmyyMqq-0vnEgsfHfLbMBNVdtSSPSAMNV22UhJboB8
94,BD1CAlSv_sofhR-TER1otJERF9X3rk30m0hL5XB7DsG9
95,BS1tsgg6SX4vWNbz2D58wwoGvHu2PK9C-sB7hHvl65Z4s_w
96,BYJREsiimC5koThEWeyC4lp4q-bRkvIjkmMkm2uuRK1l21Y
97,BdBbFovh_mnjuBNLwiu5XjUzvOQwx1q9WyKjBssKvwK0_PQ
98,BepCRLecvFy_oPs6X0YxLngwBwM2kH_Dq_FgLVe3zJMNlF4
99,BfXYuNMC91BYrwFcYYV1tZzfBeOWgTg-hlZe2pVnGdgd2k0
100,Bu44UfC2LAwneUipMJKo0fFXSS5etXvT36DGurqP--SpRjE
101,CBGyGzk7BY1PaN8Eni1cWSILBup7XuKDnz0NV-tnEzHNEFk
102,CO-Tmp4FU0fjCr41e64HH6hlAxhQwddU3KEL7lzXsyeG_5I
103,CbHHyxvagklL461i19sbJTwPy7PCDZr2yKIuK-LcOzwbDaU
104,CfS3hg-zdTQVRFGc8WIHor-PviOFPHtqxPGzwsxFfIFuQGU
105,CjtEq9QOYbmcP1QUq-zfhX-oo0Edi3P0FUjQNYcBANrNoN8
106,CnvgIDEHSjY2xbuA6kEafhGuMmj59Vz9n-bFV-A8S-S1m5A
107,D6Qo8V4uLCPBhJRiWwom-q06xe3PRaEBtm41tAFlKetQYZs
108,DCZWEvoj7ICHgl06lkDfRLAsnWPQUjJATcBYuzSv3qVeo8U
109,DEpPd7GaXdfTneX6w_77ldWNd-eDiqFaFc_HRLl26lIJZyA
110,DcWXh-80MOK9jyeNxLXcB6M79-gOnE6dC2YHhizkH1o8_SQ
111,DdlyEOELltHKDMIW_OXRbWWAzoSPOAqtFfFiGdlArs-HmFU
112,Dooa08nwwChL4hi6wojSgDSHtLCbW-VwiPkoRPwxWJjtN_I
113,Dwpapoq4UiH_Nib75fMp_6IDq3DOxv0EQXIPMR3sooWmZkE
114,E2ihdOt-4Om8Y0n1EvxQzXYOciUOUWj9oXo-w-h_FSq7m_Q
115,E6bdUuOjtLV3bDtKBDS8f2IXXR3XBwvsWDVL2q6PB2YZKqM
116,ECwM1GInVP1VaJ6XBQVARma7ju7bGe9UULdKOrnmM4c4cDo
117,EWOVzOK2Zu7ZbdS2LRkFUNAB9bOwIRO7DXL-FeehugVcMHI
118,EX-2-7mJtV3cejiLLXc4sRJnL8lfZdWgNry2kpTCRby9EJ8
119,E_DxrR2mnjLPqRnyDDQnewr4V5S8JfCtQq2Mp1D4nbjn-Ug
120,EgvDevWEJ9GGxYlw6r9fcNEowLq71zJjMDDxJQjhT-nE3zo
121,Evwy4It1lwnT4cAcVo5ZRN7fB4EWps10CK9prVlkxwsK9CU
122,ExccLdaQN_17JXwtaGEQB3qGpnN34O6_gOR2yYu3hF0E190
123,F0uhrZrbUbtLRoYRwwpNInoTuJLpXnmK143Wj1Ckj4knu74
124,FX78PBDjTFXWJUZQHH40eQaIBhddnYQ1MqwCA2uuGmml1zA
125,Fbh3qE4L2NZFgMAKrNKvrUEjSqzJh-CQ9z-u7LBrQRpvmjM
126,FnN8QC_cuC9i3AR8JZHQfDh4Uyi2ehnsLpKuqVOk13YzBrI
127,Ft9X1PJTZmRcdjkdppHMIjlIrt7SDTAjB_wDNt4PgfW7JaY
128,FwFlEMsWK-TG9JLJrbqEKZLCcQKFbijXMUEcTsfPj3554rc
129,FzjQmEY1V45lGRxwfNLRE6Pa2D-SD6uQoPfIkjdPP8I_oaM
130,G24v-97GAwzoOGhE4nR2oi8933HglT87kLHHNtq_vdkDk0Q
131,G9SE79EbfNNmPHKsy2_CCnu3I6tLx_-qJjwl0RAcp53io_c
132,GE1TKdJW4PILmTEOv7voiEjmL9iREBLme_9mAZMSrMmzcQc
133,GEW4p3c4JcDRGVnUW_VrjmXeh5wi89CjBFCp8IFyOMz9K9o
134,GGMk8bwzBouiM9qGMJ9Z5y7wJwvfgjzIiA5c7FqHWE_RoEk
135,GGv1CzPelPvj3gxcUvXBvVusyw7hD8BKvKMwgt16TGjtUKY
136,GHB_DA8e9nt4VewrJ7cYv_MULpyWV2cswgxlGiAnE3NAlmE
137,GNd2c6LjV8wT5WUg6EU2bw0LctnDujTiJBUA7SFmGvEK4oA
138,GXaKu822gQWUcJB7jhyjYyw-NIp3ZRpZp5vkO6EjyEL_ozc
139,GZv-NYXsXgFBedWckjxos_81barlgwSFxIgBQ6Q5oCUkif4
140,Gdk93jZT92CkOxA_vXbSjqV3Sk-hoI1JWHVkWtQxo47rmro
141,Gy0euVO3XgmEWZ9upn29oib4-9Ls_UGipHPG9VBIfx0dmfQ
142,HFuI4orMwP8PWpmsBOg68vsbqEOtJ4QIgMUqaDgd7Wh5J2g
143,HN11BiNtS-rOSXLnuDN8FjTZ38eVe7By-MRQh9CnQ6OnluY
144,HOHmqW4veZlnPkgW-G4XBK49zUEQ9Mi0JS3C3Vp1MhAUT9M
145,HSAYa3wHv0VTXZEo5NbSUKfv5W45XsFPVEBj-hS58LUXEDo
146,Hb3VtACmMSddzi3VrR0ooGXi7JrdiRwfSfMaMRqKGn5oLOQ
147,HcaRNEATU00FUgfRxP6qwpOftKlJ9owzWd6rfnHHu2vLcAU
148,HhbTtqLDUePvJZc3ZqBZ-ppmBo-p9Vi2lqKnevCf-0OYLWs
149,HhkYOcB4VdDNViKku850xbGg_-Gdw0yFVBXRIOVrVQ
